(Parent) ASIN,(Child) ASIN,Title,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Country
B0C7GVZK2Z,B074T4SWGX,Tech Armor (Tech Armor) Apple iPhone X HD Clear Film Screen Screen scratch Prevention Film [3 sheets],2,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B074T4SWGX,B074T4SWGX,Tech Armor (Tech Armor) Apple iPhone X HD Clear Film Screen Screen scratch Prevention Film [3 sheets],3,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B01HUN9QR2,B074TMPWKC,Premium Shirt Boys Color: Green,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B074VQQ8MY,B074VQQ8MY,SIMPLI-MAGIC (Simpli Magic) High Durable Multi-Bass Drop Cross 6 × 9 feet,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07558H6JF,B074W7J6T5,"Living room 100 x 200 cm (39 x 79 ""polyester phrases column door curtain panel room Divider frieder clean) blue",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B074WY2923,B074WY2923,Smukke Dress Girls,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B074ZJDLMB,B074ZJDLMB,JVINI PANTS Ladies,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07528NXCC,B07528NXCC,MagicWater Suppry Cut Paper Shred Filler (1/2 pound) Gift wrapping & basket filling -Silver metallic,1,1.0,0.0,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B081D91WYS,B0752Y54CJ,American Warrior Flag Skull Military T -shirt US Size: Medium Color: White,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0752Y9NFP,B0752Y9NFP,KavaFied Traditional Bus Trainer Bag,7,0.0,0.0002,0.0,0.7143,0.0,0,0.0,0.0,0.0,Japan
B08MCYM95V,B0753KSRMG,Mytee Products Tow Strap V bridle 3 inch x 24 inch RTJ cluster hook 500 pounds work load | Recovery V strap wrecker/rollback/car hole,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07542WRNM,B07542WRNM,Triumph Competition Volleyball Set,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0754368J4,B0754368J4,PRESTA Valuva Core -10 Packs,5,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0754QRSWW,B0754QRSWW,HOPE & HENRY Girls Sweater Cape,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07559LTTX,B07559LTTX,Riders by Lee Indigo Pants Ladies,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0755BPZDW,B0755BPZDW,(Upper bounce) UPPER BOUNCE Trampoline replacement Jump mat V -ring compatible with ring,10,7.0,0.0003,0.0123,0.0,0.0,0,0.0,0.0,0.0,Japan
B0758Z5MGG,B0755K87P3,LC Hikari Fiberaloop Back Adapter - COMM Cable LC Loop Back Tester Adapter Blue,6,0.0,0.0002,0.0,0.6,0.0,0,0.0,0.0,0.0,Japan
B0755S9DCY,B0755S9DCY,SPEEDFREAKCNC 3M SPEEDGLAS Compatible Clear Cover Lens 04-0270-01 Utility 9000F 9000XF 9002V 9002X,5,0.0,0.0001,0.0,0.8,0.0,0,0.0,0.0,0.0,Japan
B0755SG2GP,B0755SG2GP,HoneySew Tension Assembly #240446 Singer 111W Consusew 206RB Walking Foot Machine,2,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
B0757HKS4B,B0755VJMKG,Home Sweetie Adult_costume Men's Color: Black,2,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
B07SSZ3YXN,B075688GDD,"BEASYJOY iPhone SE 2022/3rd/2020, iPhone 8/7 Metal Case with Metal Case With Durial High School Protector Full Body Protection Protection Military Grade Drop Prevention Durable Mobile Phone Case, Yellow",9,0.0,0.0003,0.0,0.4444,0.0,0,0.0,0.0,0.0,Japan
B0758159B3,B0758159B3,"(42 DOUGH TOOL KIT) -Kiddy Dough 42 -Piece Play Dough Tool Kit & Clay PARTY PACK W/Letters and Numbers -Mega Tool Playset Includes 45 Colourful Cu TTERS, MOULDS, Rollers & Play Accessories + 2 Bonus Surprise Dough Extruders",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07T9P5DJY,B07586KYY7,EVIL ENERGY 6AN 90 degrees rotation Horse End Footsteps fuel Line Alminium Black,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B077LBD9Z9,B0758VYVRB,"(90 X 156, Royal Blue Tablecloth) -Gee Di Moda Rectangle Tablecloth -230cm x 400cm INCH -Royal Blue Rectangular Table Cloth for 2.4m Table IN Washab LE POLYESTER -GREAT FOR BUFFET TABLE, PARTIES, HOLIDAY DINNER, Wedding & More",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0759GLD3H,B0759GLD3H,"Lifbeier Light -up foam stick, 3 -mode -colorful flashing LED stove stick, party, concert and event, 20 pieces",2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0759T5ZDP,B0759T5ZDP,ICY Super Ball -32mm Bright Two -Ton Color Bounce Ball 24 Packs,3,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0759TRPJR,B0759TRPJR,HALO Sleep Sack Micro Flese Wear Lacket Blanket,15,0.0,0.0004,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075VKGS7D,B075BN79PY,Spooktacular Creations (Supuktacular Creations) Boys Ninja Deluxe Costume For Children,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B079DS3W2B,B075CDWMMJ,"Tapestry Art Wall Hangings Tapestry Tiger Africa Wild Blue Leaves King of Animals 40 ""X60""",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B075CKK3GM,B075CKK3GM,RCGEEK compatible USB charging cable power cable for DJI OSMO mobile,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075CM4JJM,B075CM4JJM,VAN HEUSEN Men's Dress Shirt Slimft Flex Color Stretch plain,5,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075S675FW,B075D9SQWP,"Miscly round boots Shoelaces [1 pair] Durable and durable shoelaces boots/work boots/hiking shoes, brown, 45 ""(114 cm)",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075F4DNSF,B075F4DNSF,DEARCASE Ladies Long Sleeve Maximum Maxi Dress Crew Neck Lawn Rubber Casual Casual Empire Waist Pocket,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075F5C7FV,B075F5C7FV,IDEALSANXUN Ladies High West Maxyskirt A line lattice pattern winter warm flare long skirt,5,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075FFSSDG,B075FFSSDG,Lock and Love Skirt Ladies,5,1.0,0.0001,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B0798474P3,B075FLN6LR,AINOLWAY 8 ounce Water Beads (20000 pieces) Original size Water gel bead jelly glow ball child touch toy toy vase filler (orange),1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B075FMD4HG,B075FMD4HG,Hitman's BodyGuard/ [Blu-ray] [Import],2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07RZ8HMNV,B075G3586V,Occurs in Kin G KOIL and rise air mattress quilt top & only bed -internal pump to increase air mattress best in fretable air bed twin size upgrade gradual twin black,12,0.0,0.0004,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075HY4MJM,B075HY4MJM,Cactus Shot Glass 5 pieces Set for women Shinko de Maybacherrette Fiesta Party Supplies (2 ounce),2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075LPY3C1,B075JJ3MFZ,"CKLT Men's Fashion Magic Money Clip Leather Minimalist Slim Wallet, Black, Medium",3741,19.0,0.1117,0.0335,0.0,0.0,0,0.0,0.0,0.0,Japan
B075JNQBBH,B075JNQBBH,REVCO TIGSTER THE ULTIMATE TIG WELDING GLOVE -MODEL: T50 -size L size: l by Revco,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075MQSRWG,B075MQSRWG,EURMAX 10 X 20 Easy Pop UP Canopy Car Port Wedding Party Tent with Roller Bag,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07876MQ1L,B075N4BJ13,Helmet liner sweat -emitting skull cap beanie. The ultimate performance absorption and abandonment. Fit under the helmet,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075NJHLLG,B075NJHLLG,MAGICMK Ladies Sweater Lip Print Casual Blouse Offshoulder Long Sleeve Loose Loose Loose Pull Over Plus Tops,4,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075NNZ3KT,B075NNZ3KT,Mash and boil,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075SQQX7P,B075QJG8MR,"7dots art. MOM and BABY. Watercolor art printing, poster 8 ""x10"" on Fine art THICK watercolor paper for Childrens Kids room, bedroom, bathroom. Boys, girl wall art decoration with animals. 8 ""X10""",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B09SLM3N1Y,B075RJJXW8,GOWISE USA PERFORATED PARCHMENT NON-STICK AIR FRYER LINERS FRAIRS FRYERS,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B075S675FW,B075S675FW,MISCLY Round Boots Race [1 Pair] Durable and durable shoelaces boots work boots hiking shoes,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075SWJCZM,B075SWJCZM,RPKEY Silicone Keyless Entry Remote Control Kea Fob Cover Case For Protector Ford Rincolan Maze Mazda CWTWB1U331 GQ43VT11T CWTWB1U345 8L3Z15K601B 8L-15K-601B,2,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
B075T5G5XH,B075T5G5XH,Waldecar -Safar Doventure Decoration Animal Wall Art Sticker Baby & Children's Room Nursery School Play Room -55 pieces,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075TQ6LB6,B075TQ6LB6,CUSHIONAIRE Women's Lane Cork Foot Bed Sandals +Comfort,5,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075TYMSTY,B075TYMSTY,Bishuige Ladies Sleeve Sleeve Cardigan Striped Print Kimono Loose Cardigan,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075VHM3KY,B075VHM3KY,Angelina Ladies Found -comfortable free spajama set,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075VKGS7D,B075VKGS7D,Spooktacular Creations (Supuktacular Creations) Boys Ninja Deluxe Costume For Children,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07FZGTBQ1,B075VXLGWT,Wyox Power Weight Lifting Training Gym Straps Hook Bar Wrist Support Lift Lift Gloves (Pink) 141 [Parallel import],4,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B078126NBV,B075W9CL88,"ZONLI blanket weight 60'x80 ', 20Lbs",6,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075WBM7XH,B075WBM7XH,BLUETIME Summer Tops Ladies Short Sleeve T -shirt Cold Shoulder Casual Tops T -shirt,7,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075WG5TGH,B075WG5TGH,,10,1.0,0.0003,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B075WP4275,B075WP4275,Replacement remote control APL TV1 2 3 A1427 A1469 A1378 A1294 MD199LL/A MC572LL/A MC377LL/A MM4T2AM/A MM4T2ZM/A Mac Music system,27,0.0,0.0008,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B075Y1MD7N,B075Y1MD7N,SQUIRREL PRODUCTS Kirin headband ears and tail costume accessories set,8,0.0,0.0002,0.0,0.875,0.0,0,0.0,0.0,0.0,Japan
B075YMBF9Z,B075YMBF9Z,"Ayana Low Black Torumarine Necklace Handmade Black Necklace ethically procured Natural Hara Tourmaline Clistal, M, Blackttle Marine, Tourmaline",25,0.0,0.0007,0.0,0.12,0.0,0,0.0,0.0,0.0,Japan
B077P5J7XC,B075YNXMCZ,COOLBESTDA Silicone 5 button Smart Key Fob Cover Case Protector Keyless Remote Jacket M3N-40821302,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07T3HKSBD,B0761RCPXG,"Paper napkin 40 pieces design vintage flower print cocktail napkin wedding/dinner/party papers luncheon napkin 2 layers 6.5x6.5 inches (retro collection, flower 11)",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0762196SB,B0762196SB,[6 packs] IQ Shield Liquidskin Clear Screen Prector NOKIA STEEL HR (36mm) For bubble -free film,4,0.0,0.0001,0.0,0.25,0.0,0,0.0,0.0,0.0,Japan
B07623PYFD,B07623PYFD,Vegetable glycerin USP 1 Gallon,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0763PSRR3,B0763PSRR3,LOVETERNAL Casual Men's Swim Trunks Fast Dry Print Beach Shorts Summer Board Shorts Mesh Lining,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0764552RY,B0764552RY,SHIMMER SEQUINS SHOWER CURTAIN SILVER 70X72,2,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0764CNC95,B0764CNC95,2BUNNIES Girls Ban Race Back A Line Straight Tutu Turu Party Flower Girl Dress,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0764N3JNS,B0764N3JNS,"Very cute 14 -inch baby doll Travel carry case set, adorable doll COMES DRESSED in clothes, diapers, headbands, Includes baby bags, extra jackets, drooling, milk bottle accessories",3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B081G98K29,B0764PY9TH,Time 4 Crafts Craft EVA Form Sheet 12 sheets 9 x 12 inch brown,2,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B076DH6MG3,B0765LYQZL,Ladies glossy finish O Ring All Overlink Metal Link Chain Waist Fashion Belt US Size: ONE SIZE Color: Gold,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0769655XR,B0769655XR,UNIONBAY Men's SURVIVOR IV relaxed fit cargo pants regular big & tall size,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07D531DCY,B07699HYFS,Coppered pressure socks Men & ladies 20-30mmHG running sports hiking medical blood circulation Best support LARGE-X-LARGE,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0769BWBBV,B0769BWBBV,GRACE KARIN Ladies Long Sleeve Button Down V neck Classic Sweater Knit Cardigan,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076BK4MRT,B076BK4MRT,SHENBOLEN SKIRT Ladies,2,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B07HB9D8Z3,B076C9PJYM,"ATTCL Men's Fashion Driving Polarized Sunglasses -AL -MG Metal Ultra -Lightweight Frame, Black, M",2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076DF53DB,B076DF53DB,Yellow emoticons High -vision deterive distance golf ball 12 pieces set course For play practice gift etc. (1 dozen),2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076FHSXGF,B076FHSXGF,Softrucks by Softrucks,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076G53YY8,B076G53YY8,Ashwini Dress Girls,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076G5XGMB,B076G5XGMB,BALI Ladies Lace Bra,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B078PKCZPV,B076GYGKGL,Warner's BRA Ladies Color: Beige,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B01N2S51CF,B076HCTMTR,NCAA Men's Adjustable Hat Relax Fit Call icon,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B077Z7V4RK,B076HDFP1C,"NCAA, men, hat with adjuster, relaxation fit, team icon. ONE SIZE",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076HTKKXC,B076HTKKXC,Stranger Things Season 1 4-Disc DVD / Blu-Ray Collectors Edition Box Set (Exclude VHS Box Style Packaging),8,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076HZJHQ5,B076HZJHQ5,BELTOX Ladies 3 inch wide belt elastic stretch scinch waist band ladycamer band,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B077PKFT8P,B076J99D2L,Blingsoul Premium quality Movie Jewelry Collection ONE-SIZE Silver,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076JG6TLV,B076JG6TLV,N.N.G Ladies Boots Winter Overney Long Boots Fashion Boots Heals Autumn Quality Suede Comfortable Square Heals US Size,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076JKPD5S,B076JKPD5S,American flag decal window stecker 3 pieces Pack Vinyl Cardecal Static electricity non -sticky sticker 3 x 5 inch Home car truck RV Jeep Wind Shield Rear window is ideal for window,6,0.0,0.0002,0.0,0.6667,0.0,0,0.0,0.0,0.0,Japan
B076KP9X9Z,B076KP9X9Z,Functional multi -pocket cross body bag. US size: ONE SIZE Color: Brown,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B077LYNT2C,B076M6P36X,"[Product Launch 50% PROMO] SPYSLIDE Ultra -thin Web camera cover (0.023in, 0.6 mm) - Premium stainless steel, laptop, tablet, smartphone INCL.",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B076M8LSN8,B076M8LSN8,"Johnson & Smith Waist Rubber Equiper, Adjustable West Band Panda, and jeans pants button extenser black set by",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B076N9H3RZ,B076N9H3RZ,"NileCartTM Egyptian Perfume Bottles Wholesale Set Of 12 Size 4"" mouth-blown with handmade golden Egyptian decoration for Perfumes & Essential Oils by",3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076NX9NW9,B076NX9NW9,Pharma-C-Wipes 70% ISOPROPYL ALCOHOL WIPES (Case of 6 Canisters) Made in the USA,4,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07T8BWJNC,B076NYRFRT,ODD SOX SockShosiery US size: SHOE SIZE 8-12,3,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B076PSQYKX,B076PSQYKX,American Vinyl Vintage Art Maui Fully Girl Sticker (Hawaii Bumper Logo Island),1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076XF6BBP,B076PZV5TR,"Blunt power 100%enriched fresh 17 ""Assorted Scents Incense Tube (5 - 7 Sticks Per Tube)",1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B076QHGLYY,B076QHGLYY,SATINA (Satina) High West Leggings 25 Color Super Soft Furgus Unaqual Motable Slim,4,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B081QM6BPP,B076T1Y87L,"Wood bridge. 28.5 x 14.5 x 27.5 ""T -0008 Bidet Toilet 1",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076T8WS1C,B076T8WS1C,Oshkosh B 'GOSH BIG GIRLS' DENIM JEGGING,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076TGPNCB,B076TGPNCB,THEDRIFTER Floating FURLED LEADER - DRY FLY drawing line,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076V6YCCJ,B076V6YCCJ,Rokinon AF 35mm F/1.4 Auto Focus Wide-angle Full Frame Lens Sony FE Mount Black (IO3514-E),7,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0772J1FHN,B076VL1K6G,"ASGARD Ladies Ankle Rain Boots Waterproof Chelsea Boots, Black, 10",2,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B07ZCFMWBG,B076VMH7V7,COZY COVER PREMIUM COLLECTION -INFANT CAR SEAT COVER (CHARCOAL),2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0776RH3RF,B076VN7GYR,AirPods strap 22 inch silicon loss wireless wireless earphones blue Lie-01-008WMB,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B0784VLHQ8,B076VVY5TJ,Stealth Mode Accessory Men US Size: ONE SIZE Color: Black,3,1.0,0.0001,0.0018,0.0,0.0,0,0.0,0.0,0.0,Japan
B076WQVCWH,B076WQVCWH,High waist Rise Color Stretch Skinny Damage Processing Damage Processing Jeans Ladies Olive Mustard Red,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07728N22Y,B076WWVQ3P,FLYING BALLOON Lovely Cartoon Cloud Slow Pillow West Rest Cushion Bed Rest Leading Pillow Chair Back Cushion For Office,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076XB84PX,B076XB84PX,Dead Lift Strap 8 Lifting Strap Power Lifter Waitter Workout enthusiast,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B076XGMHX4,B076XGMHX4,CLOTHES MOTH Trap 7-Pack with Premium Pheromone Attractant | Most effective traps available | Non-toxic Safe no Insectic | GREener Mindset,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B08PSFP1VN,B076XQYP6M,ROCK-N-RESCUE Arbarope storage bag Lock and tree climbing Supplies Avo List Gear Bucket Style Backpack Waterproof Nylon Material Yellow 200 Feat,7,0.0,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B072KR6FJ9,B076YHVZSV,MADE EASY KIT Neophane Water Bottle Carrier Holder Bag Pouch Adjustable Stainless Steel Water Bottle Plastic Bottle (Black L (32 ounce / 1.5L),2,0.0,0.0001,0.0,0.5,0.0,0,0.0,0.0,0.0,Japan
B07VT6P5R2,B0771W87J9,TRAILCREST Boys Camouflage Hunting Car Goopants | 6 Pockets | Mossy Oak Break-Up Country S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07723QLB8,B07723QLB8,Speechless Dress Girls,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0772J1FHN,B0772J1FHN,ASGARD Ladies Ankle Rain Boots Waterproof Chelsea Boots,12,0.0,0.0004,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B08958FNV7,B0773D1LBZ,"LUSH DECOR 16T001867 Edward Trellis Pattern Day Bed cover 6 -piece set bed skirt, pillowcase, case included 75 inch x 39 inch gray",2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07S9FVJDB,B0773MCHP7,"TILLYOUOUU Jersey Knit Super Soft Change Baby Girls and Boys-32 ""/ 34"" x 16 ""Pad cover Set Creation Unisex Changes/ Table Seats-Comfortable and comfortable hypoallergenic-2 pack 2 pack pink & LT and gray",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0773NZZ44,B0773NZZ44,Beard Men's Electric Shaver 4 Blade Shaving Electric Shaved Electric Shaver Electric Shaver 4D Floating Head IPX6 Waterproof Kamisari USB Rechargeable Automatic Adjustment Washing Bath Shave Safe Lock Function,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0774MZGW8,B0774MZGW8,Thermi silicon sleeve for HYDRO Flask water bottle (multiple sizes and colors),2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07758WH2D,B07758WH2D,NO NONSENSE With Ladies Classic Denim Caprician Leggings Pocket,3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0776JYR4W,B0776JYR4W,Compatible with POY replacement band Fitbit Charge 2 with breathable wristband air hole strap,33,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0776V1G6S,B0776V1G6S,REKITA Rush Guard Long Sleeve Ladies Swimwear Bottom Swim Swim Shirt Color Blint Tankini,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0778SWNP2,B0776VPC7M,BRCUS HAT Girls US Size: M Color: Pink,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07779D7J7,B07779D7J7,DEER STAGS Uni -Child Lunch -K,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0785N65MZ,B0777HDNWM,Shadow Domain Hat Unisex Adult Men's US Size: M Color: Black,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0777JC2BG,B0777JC2BG,BIGTEDDY -206PCS Photo Frame Picture Hangers Assortment Wall Hanging Kit Kit Hardware WITH WIRE WIRE WIRE WIRE WIRE WIRE WIRE WIRE WIRE WIRE WIRE WITHE WITHE WITHOME AND OFFICE PITURE WALL WALL WALL MOUNT,2,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0778YY7T9,B0778YY7T9,Ultimate FRISBEE gloves CFTECH Ice silk breathable gloves Non -slip -enhance the ultimate grip and friction in the game! ALSO for Riding Fitness Training Mountain Mountain Outdoor Sports,10,0.0,0.0003,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B0778ZG3MT,B0778ZG3MT,AHH BY RHONDA SHEAR Ladies Plus Size Seamless Arm Shaper,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B07794BDKD,B07794BDKD,U-PACK 4 Oz Amber glass Boston Round Bottle Black Rib Cap 12 Packs,2,0.0,0.0001,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B077CS6B18,B077CS6B18,"Wildroot Organic (1 Oz.) 16 Species MycorrHizal Inocultant Treats Up to 211 Plants, Droutof's PLANTS and TREES, SAVES WATER and PRECIUS FERTILI ZER, Root Stimulator Explodes Root Growth",3,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
B077D2HWHB,B077D2HWHB,Christmas Gift Decoration Party Rhinestone for Party TATTOO Sticker Crystal Makeup Self -adhesive EYE SHADOW Diamond Sticker,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Japan
B07B3T91VZ,B077F69P44,"BORUO Ladies 925 Stirling Silver Ring, Lotus Flower Yoga Plain Dome polluts the rings of 2mm resistance, comfortable fit wedding band 18",1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Japan
